gray conversion, salt and pepper, guassian, histogram and equalized Histogram, quantization, msqe, linear filter, median filter, total operation time
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,5,2,9,
0,0,0,1,0,0,4,3,10,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,4,2,8,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,5,2,9,
0,0,0,0,0,0,5,3,9,
0,0,0,1,0,0,3,2,7,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,3,2,8,
0,0,0,1,0,0,5,2,9,
0,0,0,1,0,0,5,1,9,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,7,2,11,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,6,4,12,
0,0,0,1,0,0,3,1,7,
0,0,0,1,0,0,8,4,14,
0,0,0,1,0,0,7,4,14,
0,0,0,1,0,0,9,5,17,
0,0,0,1,0,0,7,5,14,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,8,2,13,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,9,5,17,
0,0,0,2,0,0,10,5,18,
0,0,0,1,0,0,10,4,17,
0,0,0,2,0,0,8,4,15,
0,0,0,2,0,0,9,3,16,
0,0,0,1,0,0,5,5,13,
0,0,0,2,0,0,9,5,17,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,9,4,16,
0,0,0,1,0,0,9,4,15,
0,0,0,1,0,0,9,3,15,
0,0,0,1,0,0,5,2,9,
0,0,0,1,0,0,6,2,11,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,6,2,11,
0,0,0,1,0,0,4,2,9,
0,0,0,1,0,0,8,4,14,
0,0,0,1,0,0,9,5,17,
0,0,0,2,0,0,9,5,17,
0,0,0,1,0,0,8,4,15,
0,0,0,2,0,0,6,5,14,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,8,5,16,
0,0,0,0,0,0,4,3,9,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,6,2,11,
0,0,0,1,0,0,6,2,10,
0,0,0,0,0,0,4,3,9,
0,0,0,1,0,0,6,2,10,
0,0,0,0,0,0,5,3,10,
0,0,0,0,0,0,5,3,9,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,5,2,10,
0,0,0,1,0,0,5,2,9,
0,0,0,1,0,0,7,3,13,
0,0,0,1,0,0,3,2,7,
0,0,0,0,0,0,3,2,7,
0,0,0,1,0,0,7,2,12,
0,0,0,0,0,0,7,4,13,
0,0,0,1,0,0,8,3,13,
0,0,0,1,0,0,6,5,14,
0,0,0,1,0,0,8,4,15,
0,0,0,1,0,0,7,5,15,
0,0,0,1,0,0,4,4,10,
0,0,0,1,0,0,9,5,16,
0,0,0,1,0,0,7,3,13,
0,0,0,1,0,0,7,5,14,
0,0,0,2,0,0,9,5,18,
0,0,0,2,0,0,11,5,19,
0,0,0,1,0,0,9,5,17,
0,0,0,2,0,0,10,5,18,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,9,3,16,
0,0,0,1,0,0,9,5,17,
0,0,0,1,0,0,9,3,16,
0,0,0,1,0,0,5,4,11,
0,0,0,1,0,0,6,2,12,
0,0,0,1,0,0,6,5,13,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,7,3,13,
0,0,0,1,0,0,9,3,15,
0,0,0,1,0,0,8,4,14,
0,0,0,1,0,0,8,3,14,
0,0,0,1,0,0,7,4,14,
0,0,0,1,0,0,8,3,14,
0,0,0,1,0,0,8,4,14,
0,0,0,1,0,0,5,2,11,
0,0,0,1,0,0,7,3,12,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,8,5,16,
0,0,0,2,0,0,9,4,16,
0,0,0,1,0,0,5,2,9,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,6,2,11,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,5,2,10,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,5,3,11,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,5,2,10,
0,0,0,1,0,0,6,2,10,
0,0,0,1,0,0,5,3,11,
0,0,0,0,0,0,5,3,10,
0,0,0,2,0,0,7,3,13,
0,0,0,0,0,0,3,2,7,
0,0,0,0,0,0,5,4,10,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,4,2,8,
0,0,0,0,0,0,5,2,9,
0,0,0,0,0,0,7,5,14,
0,0,0,1,0,0,9,3,16,
0,0,0,1,0,0,8,4,15,
0,0,0,2,0,0,9,4,16,
0,0,0,1,0,0,5,5,12,
0,0,0,2,0,0,9,5,17,
0,0,0,1,0,0,10,5,18,
0,0,0,1,0,0,9,6,18,
0,0,0,2,0,0,7,5,16,
0,0,0,2,0,0,9,4,16,
0,0,0,2,0,0,8,2,14,
0,0,0,1,0,0,7,5,15,
0,0,0,1,0,0,9,5,17,
0,0,0,1,0,0,9,5,16,
0,0,0,1,0,0,9,5,17,
0,0,0,1,0,0,9,5,17,
0,0,0,1,0,0,8,3,14,
0,0,0,1,0,0,7,2,12,
0,0,0,1,0,0,7,4,13,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,8,5,15,
0,0,0,1,0,0,8,3,14,
0,0,0,1,0,0,7,5,15,
0,0,0,1,0,0,6,3,13,
0,0,0,1,0,0,9,4,16,
0,0,0,1,0,0,7,4,14,
0,0,0,1,0,0,7,5,16,
0,0,0,1,0,0,9,5,17,
0,0,0,1,0,0,8,4,16,
0,0,0,2,0,0,9,3,16,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,4,2,8,
0,0,0,1,0,0,5,2,10,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,6,2,10,
0,0,0,0,0,0,3,1,6,
0,0,0,1,0,0,3,1,6,
0,0,0,0,0,0,3,2,7,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,6,4,12,
0,0,0,2,0,0,6,3,13,
0,0,0,1,0,0,6,2,10,
0,0,0,0,0,0,4,2,8,
0,0,0,1,0,0,7,4,13,
0,0,0,1,0,0,4,5,12,
0,0,0,1,0,0,7,2,11,
0,0,0,1,0,0,6,3,12,
0,1,0,2,0,0,9,5,17,
0,0,0,1,0,0,9,5,17,
0,0,0,1,0,0,9,5,17,
0,0,0,1,0,0,9,2,14,
0,0,0,1,0,0,9,5,17,
0,0,0,2,0,0,9,5,17,
0,0,0,2,0,0,10,5,19,
0,0,0,2,0,0,8,4,16,
0,0,0,2,0,0,9,5,17,
0,0,0,2,0,0,9,5,17,
0,0,0,1,0,0,8,4,14,
0,0,0,1,0,0,5,2,10,
0,0,0,1,0,0,6,5,14,
0,0,0,1,0,0,5,3,11,
0,0,0,1,0,0,9,5,17,
0,0,0,1,0,0,6,4,12,
0,0,0,1,0,0,7,5,15,
0,0,0,1,0,0,9,5,17,
0,0,0,1,0,0,8,5,17,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,6,5,14,
0,0,0,1,0,0,5,4,11,
0,0,0,1,0,0,6,4,14,
0,0,0,1,0,0,9,4,16,
0,0,0,1,0,0,8,4,15,
0,0,0,2,0,0,10,4,17,
0,0,0,1,0,0,8,5,16,
0,0,0,1,0,0,9,4,16,
0,0,0,1,0,0,7,4,14,
0,0,0,1,0,0,6,3,10,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,5,3,11,
0,0,0,1,0,0,5,2,10,
0,0,0,0,0,0,6,3,10,
0,0,0,1,0,0,5,2,9,
0,0,0,0,0,0,3,1,6,
0,0,0,0,0,0,6,3,10,
0,0,0,1,0,0,5,3,10,
0,0,0,1,0,0,6,3,12,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,5,3,11,
0,0,0,1,0,0,4,1,7,
0,0,0,0,0,0,4,5,10,
0,0,0,1,0,0,6,3,11,
0,0,0,1,0,0,5,1,9,
0,0,0,1,0,0,4,3,9,
0,0,0,1,0,0,6,2,11,
0,0,0,1,0,0,7,2,12,
0,0,0,1,0,0,8,5,15,
0,0,0,1,0,0,5,5,13,
0,0,0,1,0,0,7,3,14,
0,0,0,1,0,0,9,4,17,
